::1|2018-06-07 10:25:25
::1|2018-06-07 10:26:02
::1|2018-06-07 10:26:04
::1|2018-06-07 10:27:54
::1|2018-06-07 10:27:55
::1|2018-06-07 10:28:22
::1|2018-06-07 10:28:22
::1|2018-06-07 10:28:23
::1|2018-06-07 10:29:00
::1|2018-06-07 10:32:59
::1|2018-06-07 10:33:16
::1|2018-06-07 11:27:53
::1|2018-06-07 11:28:37
::1|2018-06-07 11:28:44
::1|2018-06-07 11:28:45
::1|2018-06-07 11:28:54
::1|2018-06-07 11:28:58
::1|2018-06-07 11:28:59
::1|2018-06-07 11:30:21
::1|2018-06-07 11:30:23
::1|2018-06-07 11:30:45
::1|2018-06-07 11:30:46
::1|2018-06-07 11:31:32
::1|2018-06-07 11:31:43
::1|2018-06-07 11:32:48
::1|2018-06-07 11:36:23
::1|2018-06-07 11:36:26
::1|2018-06-07 11:36:27
::1|2018-06-07 11:37:42
::1|2018-06-07 11:37:45
::1|2018-06-07 11:37:45
::1|2018-06-07 11:37:46
::1|2018-06-11 09:08:08
::1|2018-06-11 10:05:36
::1|2018-06-11 13:27:25
::1|2018-06-11 13:52:54
